Genome	Num bases covered	Frac bases covered	Frac bases covered over unambig	Average coverage/depth	Average coverage/depth over unambig
ebola_zaire, genome 0	18959	1.0	1.0	1.50324384197	1.50324384197
ebola_zaire, genome 0 (rc)	18959	1.0	1.0	1.50324384197	1.50324384197
ebola_zaire, genome 1	18959	1.0	1.0	1.50324384197	1.50324384197
ebola_zaire, genome 1 (rc)	18959	1.0	1.0	1.50324384197	1.50324384197
ebola_zaire, genome 2	18959	1.0	1.0	1.44522390421	1.44522390421
ebola_zaire, genome 2 (rc)	18959	1.0	1.0	1.44522390421	1.44522390421
ebola_zaire, genome 3	18959	1.0	1.0	1.44522390421	1.44522390421
ebola_zaire, genome 3 (rc)	18959	1.0	1.0	1.44522390421	1.44522390421
ebola_zaire, genome 4	18958	1.0	1.0	1.46639940922	1.46639940922
ebola_zaire, genome 4 (rc)	18958	1.0	1.0	1.46639940922	1.46639940922
ebola_zaire, genome 5	18958	1.0	1.0	1.47167422724	1.47167422724
ebola_zaire, genome 5 (rc)	18958	1.0	1.0	1.47167422724	1.47167422724
ebola_zaire, genome 6	18958	1.0	1.0	1.47167422724	1.47167422724
ebola_zaire, genome 6 (rc)	18958	1.0	1.0	1.47167422724	1.47167422724
ebola_zaire, genome 7	18958	1.0	1.0	1.46639940922	1.46639940922
ebola_zaire, genome 7 (rc)	18958	1.0	1.0	1.46639940922	1.46639940922
ebola_zaire, genome 8	18958	1.0	1.0	1.46639940922	1.46639940922
ebola_zaire, genome 8 (rc)	18958	1.0	1.0	1.46639940922	1.46639940922
ebola_zaire, genome 9	18958	1.0	1.0	1.46639940922	1.46639940922
ebola_zaire, genome 9 (rc)	18958	1.0	1.0	1.46639940922	1.46639940922
ebola_zaire, genome 10	18958	1.0	1.0	1.47167422724	1.47167422724
ebola_zaire, genome 10 (rc)	18958	1.0	1.0	1.47167422724	1.47167422724
ebola_zaire, genome 11	18959	1.0	1.0	1.45049844401	1.45049844401
ebola_zaire, genome 11 (rc)	18959	1.0	1.0	1.45049844401	1.45049844401
ebola_zaire, genome 12	18958	1.0	1.0	1.42947568309	1.42947568309
ebola_zaire, genome 12 (rc)	18958	1.0	1.0	1.42947568309	1.42947568309
ebola_zaire, genome 13	18959	1.0	1.0	1.4610475236	1.4610475236
ebola_zaire, genome 13 (rc)	18959	1.0	1.0	1.4610475236	1.4610475236
ebola_zaire, genome 14	18958	1.0	1.0	1.42947568309	1.42947568309
ebola_zaire, genome 14 (rc)	18958	1.0	1.0	1.42947568309	1.42947568309
ebola_zaire, genome 15	18958	1.0	1.0	1.42947568309	1.42947568309
ebola_zaire, genome 15 (rc)	18958	1.0	1.0	1.42947568309	1.42947568309
ebola_zaire, genome 16	18959	1.0	1.0	1.4610475236	1.4610475236
ebola_zaire, genome 16 (rc)	18959	1.0	1.0	1.4610475236	1.4610475236
ebola_zaire, genome 17	18958	1.0	1.0	1.38727713894	1.38727713894
ebola_zaire, genome 17 (rc)	18958	1.0	1.0	1.38727713894	1.38727713894
ebola_zaire, genome 18	18959	1.0	1.0	1.56653831953	1.56653831953
ebola_zaire, genome 18 (rc)	18959	1.0	1.0	1.56653831953	1.56653831953
ebola_zaire, genome 19	18959	1.0	1.0	1.57708739912	1.57708739912
ebola_zaire, genome 19 (rc)	18959	1.0	1.0	1.57708739912	1.57708739912
ebola_zaire, genome 20	18959	1.0	1.0	1.57181285933	1.57181285933
ebola_zaire, genome 20 (rc)	18959	1.0	1.0	1.57181285933	1.57181285933
ebola_zaire, genome 21	18944	1.0	1.00010558547	1.3671875	1.36733185514
ebola_zaire, genome 21 (rc)	18944	1.0	1.00010558547	1.3671875	1.36733185514
ebola_zaire, genome 22	18959	1.0	1.0	1.49269476238	1.49269476238
ebola_zaire, genome 22 (rc)	18959	1.0	1.0	1.49269476238	1.49269476238
ebola_zaire, genome 23	18960	1.0	1.0	1.49261603376	1.49261603376
ebola_zaire, genome 23 (rc)	18960	1.0	1.0	1.49261603376	1.49261603376
ebola_zaire, genome 24	18959	1.0	1.0	1.50324384197	1.50324384197
ebola_zaire, genome 24 (rc)	18959	1.0	1.0	1.50324384197	1.50324384197
ebola_zaire, genome 25	18959	1.0	1.0	1.49269476238	1.49269476238
ebola_zaire, genome 25 (rc)	18959	1.0	1.0	1.49269476238	1.49269476238
ebola_zaire, genome 26	18959	1.0	1.0	1.50324384197	1.50324384197
