Genome	Num bases covered	Frac bases covered	Frac bases covered over unambig	Average coverage/depth	Average coverage/depth over unambig
sars, genome 0	29646	1.0	1.00006746728	1.31889630979	1.31898529213
sars, genome 0 (rc)	29646	1.0	1.00006746728	1.31889630979	1.31898529213
sars, genome 1	29646	1.0	1.00016868527	1.3121500371	1.31237137748
sars, genome 1 (rc)	29646	1.0	1.00016868527	1.3121500371	1.31237137748
sars, genome 2	29646	1.0	1.00006746728	1.32226944613	1.32235865605
sars, genome 2 (rc)	29646	1.0	1.00006746728	1.32226944613	1.32235865605
sars, genome 3	29646	1.0	1.00023617531	1.31889630979	1.31920780053
sars, genome 3 (rc)	29646	1.0	1.00023617531	1.31889630979	1.31920780053
sars, genome 4	29646	1.0	1.0	1.32226944613	1.32226944613
sars, genome 4 (rc)	29646	1.0	1.0	1.32226944613	1.32226944613
sars, genome 5	29646	1.0	1.00020242915	1.31889630979	1.31916329285
sars, genome 5 (rc)	29646	1.0	1.00020242915	1.31889630979	1.31916329285
sars, genome 6	29751	1.0	1.0	1.44869080031	1.44869080031
sars, genome 6 (rc)	29751	1.0	1.0	1.44869080031	1.44869080031
sars, genome 7	29727	1.0	1.0	1.39603727251	1.39603727251
sars, genome 7 (rc)	29727	1.0	1.0	1.39603727251	1.39603727251
sars, genome 8	29727	1.0	1.0	1.39603727251	1.39603727251
sars, genome 8 (rc)	29727	1.0	1.0	1.39603727251	1.39603727251
sars, genome 9	29716	1.0	1.00037030803	1.37972809261	1.380239017
sars, genome 9 (rc)	29716	1.0	1.00037030803	1.37972809261	1.380239017
sars, genome 10	29013	1.0	1.00010341262	1.28907731017	1.28921061703
sars, genome 10 (rc)	29013	1.0	1.00010341262	1.28907731017	1.28921061703
sars, genome 11	29592	1.0	1.00010138903	1.28751013788	1.28764067728
sars, genome 11 (rc)	29592	1.0	1.00010138903	1.28751013788	1.28764067728
sars, genome 12	29740	1.0	1.0	1.42232683255	1.42232683255
sars, genome 12 (rc)	29740	1.0	1.0	1.42232683255	1.42232683255
sars, genome 13	29573	1.0	1.0	1.29510026037	1.29510026037
sars, genome 13 (rc)	29573	1.0	1.0	1.29510026037	1.29510026037
sars, genome 14	29727	1.0	1.0	1.39603727251	1.39603727251
sars, genome 14 (rc)	29727	1.0	1.0	1.39603727251	1.39603727251
sars, genome 15	29754	1.0	1.0	1.43510116287	1.43510116287
sars, genome 15 (rc)	29754	1.0	1.0	1.43510116287	1.43510116287
sars, genome 16	29711	1.0	1.0	1.37322877049	1.37322877049
sars, genome 16 (rc)	29711	1.0	1.0	1.37322877049	1.37322877049
sars, genome 17	29706	1.0	1.00003366437	1.35662829058	1.35667396061
sars, genome 17 (rc)	29706	1.0	1.00003366437	1.35662829058	1.35667396061
sars, genome 18	29711	1.0	1.0	1.37322877049	1.37322877049
sars, genome 18 (rc)	29711	1.0	1.0	1.37322877049	1.37322877049
sars, genome 19	29644	1.0	1.00003373478	1.30886520038	1.30890935465
sars, genome 19 (rc)	29644	1.0	1.00003373478	1.30886520038	1.30890935465
sars, genome 20	29644	1.0	1.0	1.30886520038	1.30886520038
sars, genome 20 (rc)	29644	1.0	1.0	1.30886520038	1.30886520038
sars, genome 21	29644	1.0	1.0	1.30886520038	1.30886520038
sars, genome 21 (rc)	29644	1.0	1.0	1.30886520038	1.30886520038
sars, genome 22	29694	1.0	1.0	1.30666127837	1.30666127837
sars, genome 22 (rc)	29694	1.0	1.0	1.30666127837	1.30666127837
sars, genome 23	29525	1.0	1.0	1.29720575783	1.29720575783
sars, genome 23 (rc)	29525	1.0	1.0	1.29720575783	1.29720575783
sars, genome 24	29741	1.0	1.0	1.36511885949	1.36511885949
sars, genome 24 (rc)	29741	1.0	1.0	1.36511885949	1.36511885949
sars, genome 25	29731	1.0	1.0	1.34876055296	1.34876055296
sars, genome 25 (rc)	29731	1.0	1.0	1.34876055296	1.34876055296
sars, genome 26	29725	1.0	1.0	1.40958788898	1.40958788898
sars, genome 26 (rc)	29725	1.0	1.0	1.40958788898	1.40958788898
sars, genome 27	29751	1.0	1.0	1.44869080031	1.44869080031
sars, genome 27 (rc)	29751	1.0	1.0	1.44869080031	1.44869080031
sars, genome 28	29727	1.0	1.00006728343	1.39603727251	1.39613120269
sars, genome 28 (rc)	29727	1.0	1.00006728343	1.39603727251	1.39613120269
sars, genome 29	29732	1.0	1.0	1.42270953854	1.42270953854
sars, genome 29 (rc)	29732	1.0	1.0	1.42270953854	1.42270953854
sars, genome 30	29745	1.0	1.0	1.43889729366	1.43889729366
sars, genome 30 (rc)	29745	1.0	1.0	1.43889729366	1.43889729366
sars, genome 31	29740	1.0	1.0	1.42905178211	1.42905178211
sars, genome 31 (rc)	29740	1.0	1.0	1.42905178211	1.42905178211
sars, genome 32	29757	1.0	1.0	1.40807205027	1.40807205027
sars, genome 32 (rc)	29757	1.0	1.0	1.40807205027	1.40807205027
sars, genome 33	29751	1.0	1.0	1.44869080031	1.44869080031
sars, genome 33 (rc)	29751	1.0	1.0	1.44869080031	1.44869080031
sars, genome 34	29499	1.0	1.0	1.28139936947	1.28139936947
sars, genome 34 (rc)	29499	1.0	1.0	1.28139936947	1.28139936947
sars, genome 35	29727	1.0	1.0	1.39603727251	1.39603727251
sars, genome 35 (rc)	29727	1.0	1.0	1.39603727251	1.39603727251
sars, genome 36	29683	1.0	1.0	1.30377657245	1.30377657245
sars, genome 36 (rc)	29683	1.0	1.0	1.30377657245	1.30377657245
sars, genome 37	29518	1.0	1.0	1.29073785487	1.29073785487
sars, genome 37 (rc)	29518	1.0	1.0	1.29073785487	1.29073785487
sars, genome 38	29540	1.0	1.0	1.3134732566	1.3134732566
sars, genome 38 (rc)	29540	1.0	1.0	1.3134732566	1.3134732566
sars, genome 39	29745	1.0	1.0	1.43217347453	1.43217347453
sars, genome 39 (rc)	29745	1.0	1.0	1.43217347453	1.43217347453
sars, genome 40	29760	1.0	1.0	1.40456989247	1.40456989247
sars, genome 40 (rc)	29760	1.0	1.0	1.40456989247	1.40456989247
sars, genome 41	29732	1.0	1.0	1.42270953854	1.42270953854
