Genome	Num bases covered	Frac bases covered	Frac bases covered over unambig	Average coverage/depth	Average coverage/depth over unambig
lassa, genome 0	10670	1.0	1.0	3.63636363636	3.63636363636
lassa, genome 0 (rc)	10670	1.0	1.0	3.63636363636	3.63636363636
lassa, genome 1	3361	0.992030696576	1.0	1.03305785124	1.04135673907
lassa, genome 1 (rc)	3361	0.992030696576	1.0	1.03305785124	1.04135673907
lassa, genome 2	10676	1.0	1.0	2.53840389659	2.53840389659
lassa, genome 2 (rc)	10676	1.0	1.0	2.53840389659	2.53840389659
lassa, genome 3	10678	0.999064371257	1.0	2.83495508982	2.83761003933
lassa, genome 3 (rc)	10678	0.999064371257	1.0	2.83495508982	2.83761003933
lassa, genome 4	10657	1.0	1.0	3.38744487192	3.38744487192
lassa, genome 4 (rc)	10657	1.0	1.0	3.38744487192	3.38744487192
lassa, genome 5	10571	1.0	1.0	4.13395137641	4.13395137641
lassa, genome 5 (rc)	10571	1.0	1.0	4.13395137641	4.13395137641
lassa, genome 6	10658	1.0	1.0	1.03208857196	1.03208857196
lassa, genome 6 (rc)	10658	1.0	1.0	1.03208857196	1.03208857196
lassa, genome 7	10601	0.998210922787	1.0	4.52919020716	4.53730780115
lassa, genome 7 (rc)	10601	0.998210922787	1.0	4.52919020716	4.53730780115
lassa, genome 8	10606	0.996898204718	1.00018860807	2.53783250305	2.54620897774
lassa, genome 8 (rc)	10606	0.996898204718	1.00018860807	2.53783250305	2.54620897774
lassa, genome 9	10648	1.0	1.0	4.13223140496	4.13223140496
lassa, genome 9 (rc)	10648	1.0	1.0	4.13223140496	4.13223140496
lassa, genome 10	10663	1.0	1.0	5.05486260902	5.05486260902
lassa, genome 10 (rc)	10663	1.0	1.0	5.05486260902	5.05486260902
lassa, genome 11	10646	0.998031311522	1.00009394082	3.36551982751	3.37247534054
lassa, genome 11 (rc)	10646	0.998031311522	1.00009394082	3.36551982751	3.37247534054
lassa, genome 12	3362	1.0	1.0	5.3242117787	5.3242117787
lassa, genome 12 (rc)	3362	1.0	1.0	5.3242117787	5.3242117787
lassa, genome 13	10648	1.0	1.0	1.07062359128	1.07062359128
lassa, genome 13 (rc)	10648	1.0	1.0	1.07062359128	1.07062359128
lassa, genome 14	10660	1.0	1.0	2.37335834897	2.37335834897
lassa, genome 14 (rc)	10660	1.0	1.0	2.37335834897	2.37335834897
lassa, genome 15	10677	1.0	1.0	3.64334550904	3.64334550904
lassa, genome 15 (rc)	10677	1.0	1.0	3.64334550904	3.64334550904
lassa, genome 16	10509	0.985187962876	1.00028555111	1.95931377144	1.98933942509
lassa, genome 16 (rc)	10509	0.985187962876	1.00028555111	1.95931377144	1.98933942509
lassa, genome 17	10609	1.0	1.0	4.20397775474	4.20397775474
lassa, genome 17 (rc)	10609	1.0	1.0	4.20397775474	4.20397775474
lassa, genome 18	10612	0.995030473511	1.00018850141	2.54102203469	2.55419415646
lassa, genome 18 (rc)	10612	0.995030473511	1.00018850141	2.54102203469	2.55419415646
lassa, genome 19	10644	0.997843817381	1.0	1.88431611512	1.88838782413
lassa, genome 19 (rc)	10644	0.997843817381	1.0	1.88431611512	1.88838782413
lassa, genome 20	10660	1.0	1.0	4.05253283302	4.05253283302
lassa, genome 20 (rc)	10660	1.0	1.0	4.05253283302	4.05253283302
lassa, genome 21	10640	0.997843008534	1.0	3.32926943637	3.33646616541
lassa, genome 21 (rc)	10640	0.997843008534	1.0	3.32926943637	3.33646616541
lassa, genome 22	10614	0.996152041295	1.00009422406	3.41623650868	3.42975595967
lassa, genome 22 (rc)	10614	0.996152041295	1.00009422406	3.41623650868	3.42975595967
lassa, genome 23	10606	1.0	1.0	1.0277201584	1.0277201584
lassa, genome 23 (rc)	10606	1.0	1.0	1.0277201584	1.0277201584
lassa, genome 24	10595	0.996426220258	1.0	2.48283645255	2.49174138745
lassa, genome 24 (rc)	10595	0.996426220258	1.0	2.48283645255	2.49174138745
lassa, genome 25	10563	0.993043151264	1.0	2.59471655542	2.61289406419
lassa, genome 25 (rc)	10563	0.993043151264	1.0	2.59471655542	2.61289406419
lassa, genome 26	10631	0.995784938179	1.0	1.29261895841	1.29809049008
lassa, genome 26 (rc)	10631	0.995784938179	1.0	1.29261895841	1.29809049008
lassa, genome 27	10843	1.0	1.00009223391	1.0329244674	1.03301973806
lassa, genome 27 (rc)	10843	1.0	1.00009223391	1.0329244674	1.03301973806
lassa, genome 28	3339	1.0	1.0	1.37765798143	1.37765798143
lassa, genome 28 (rc)	3339	1.0	1.0	1.37765798143	1.37765798143
lassa, genome 29	10634	1.0	1.0	5.36016550686	5.36016550686
lassa, genome 29 (rc)	10634	1.0	1.0	5.36016550686	5.36016550686
lassa, genome 30	10598	0.996895870567	1.00009436633	2.50211645189	2.51014438049
lassa, genome 30 (rc)	10598	0.996895870567	1.00009436633	2.50211645189	2.51014438049
lassa, genome 31	10546	0.99396795476	1.00037943464	2.38454288407	2.39992411307
lassa, genome 31 (rc)	10546	0.99396795476	1.00037943464	2.38454288407	2.39992411307
lassa, genome 32	10692	1.0	1.0	2.72166105499	2.72166105499
lassa, genome 32 (rc)	10692	1.0	1.0	2.72166105499	2.72166105499
lassa, genome 33	10637	1.0	1.0	4.21171382909	4.21171382909
lassa, genome 33 (rc)	10637	1.0	1.0	4.21171382909	4.21171382909
lassa, genome 34	10673	1.0	1.0	4.99390986602	4.99390986602
lassa, genome 34 (rc)	10673	1.0	1.0	4.99390986602	4.99390986602
lassa, genome 35	3358	0.989101620029	1.0	1.38438880707	1.39964264443
lassa, genome 35 (rc)	3358	0.989101620029	1.0	1.38438880707	1.39964264443
lassa, genome 36	10614	0.996432594818	1.00009422406	3.84904243335	3.86318665787
lassa, genome 36 (rc)	10614	0.996432594818	1.00009422406	3.84904243335	3.86318665787
lassa, genome 37	10666	1.0	1.0	3.15019688731	3.15019688731
lassa, genome 37 (rc)	10666	1.0	1.0	3.15019688731	3.15019688731
lassa, genome 38	3383	1.0	1.0	2.06916937629	2.06916937629
lassa, genome 38 (rc)	3383	1.0	1.0	2.06916937629	2.06916937629
lassa, genome 39	10702	1.0	1.0	3.23304055317	3.23304055317
lassa, genome 39 (rc)	10702	1.0	1.0	3.23304055317	3.23304055317
lassa, genome 40	10652	1.0	1.0	3.31393165603	3.31393165603
lassa, genome 40 (rc)	10652	1.0	1.0	3.31393165603	3.31393165603
lassa, genome 41	10582	0.99511002445	1.0	2.47319917247	2.48535248535
lassa, genome 41 (rc)	10582	0.99511002445	1.0	2.47319917247	2.48535248535
lassa, genome 42	10661	1.0	1.0	4.40859206453	4.40859206453
lassa, genome 42 (rc)	10661	1.0	1.0	4.40859206453	4.40859206453
lassa, genome 43	10611	1.0	1.0	1.69635284139	1.69635284139
lassa, genome 43 (rc)	10611	1.0	1.0	1.69635284139	1.69635284139
lassa, genome 44	10693	1.0	1.0	2.41279341625	2.41279341625
lassa, genome 44 (rc)	10693	1.0	1.0	2.41279341625	2.41279341625
lassa, genome 45	10661	1.0	1.0	3.78951317888	3.78951317888
lassa, genome 45 (rc)	10661	1.0	1.0	3.78951317888	3.78951317888
lassa, genome 46	10692	1.0	1.0	2.23531612421	2.23531612421
lassa, genome 46 (rc)	10692	1.0	1.0	2.23531612421	2.23531612421
lassa, genome 47	10664	1.0	1.0	2.17554388597	2.17554388597
lassa, genome 47 (rc)	10664	1.0	1.0	2.17554388597	2.17554388597
lassa, genome 48	3380	1.0	1.0	3.40236686391	3.40236686391
