Genome	Num bases covered	Frac bases covered	Frac bases covered over unambig	Average coverage/depth	Average coverage/depth over unambig
marburg, genome 0	19114	1.0	1.0	1.59568902375	1.59568902375
marburg, genome 0 (rc)	19114	1.0	1.0	1.59568902375	1.59568902375
marburg, genome 1	19113	1.0	1.0	1.59577251086	1.59577251086
marburg, genome 1 (rc)	19113	1.0	1.0	1.59577251086	1.59577251086
marburg, genome 2	19113	1.0	1.0	1.62716475697	1.62716475697
marburg, genome 2 (rc)	19113	1.0	1.0	1.62716475697	1.62716475697
marburg, genome 3	19151	1.0	1.0	1.62915774633	1.62915774633
marburg, genome 3 (rc)	19151	1.0	1.0	1.62915774633	1.62915774633
marburg, genome 4	19111	1.0	1.0	1.51221809429	1.51221809429
marburg, genome 4 (rc)	19111	1.0	1.0	1.51221809429	1.51221809429
marburg, genome 5	19112	1.0	1.0	1.57492674759	1.57492674759
marburg, genome 5 (rc)	19112	1.0	1.0	1.57492674759	1.57492674759
marburg, genome 6	19113	1.0	1.0	1.50682781353	1.50682781353
marburg, genome 6 (rc)	19113	1.0	1.0	1.50682781353	1.50682781353
marburg, genome 7	19112	1.0	1.0	1.5069066555	1.5069066555
marburg, genome 7 (rc)	19112	1.0	1.0	1.5069066555	1.5069066555
marburg, genome 8	19114	1.0	1.0	1.58522548917	1.58522548917
marburg, genome 8 (rc)	19114	1.0	1.0	1.58522548917	1.58522548917
marburg, genome 9	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 9 (rc)	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 10	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 10 (rc)	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 11	19114	1.0	1.0	1.55906665272	1.55906665272
marburg, genome 11 (rc)	19114	1.0	1.0	1.55906665272	1.55906665272
marburg, genome 12	19114	1.0	1.0	1.55906665272	1.55906665272
marburg, genome 12 (rc)	19114	1.0	1.0	1.55906665272	1.55906665272
marburg, genome 13	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 13 (rc)	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 14	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 14 (rc)	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 15	19112	1.0	1.0	1.57492674759	1.57492674759
marburg, genome 15 (rc)	19112	1.0	1.0	1.57492674759	1.57492674759
marburg, genome 16	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 16 (rc)	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 17	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 17 (rc)	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 18	19111	1.0	1.0	1.51221809429	1.51221809429
marburg, genome 18 (rc)	19111	1.0	1.0	1.51221809429	1.51221809429
marburg, genome 19	19111	1.0	1.0	1.51221809429	1.51221809429
marburg, genome 19 (rc)	19111	1.0	1.0	1.51221809429	1.51221809429
marburg, genome 20	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 20 (rc)	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 21	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 21 (rc)	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 22	19114	1.0	1.0	1.31840535733	1.31840535733
marburg, genome 22 (rc)	19114	1.0	1.0	1.31840535733	1.31840535733
marburg, genome 23	19114	1.0	1.0	1.32363712462	1.32363712462
marburg, genome 23 (rc)	19114	1.0	1.0	1.32363712462	1.32363712462
marburg, genome 24	19114	1.0	1.0	1.32363712462	1.32363712462
marburg, genome 24 (rc)	19114	1.0	1.0	1.32363712462	1.32363712462
marburg, genome 25	19114	1.0	1.0	1.31317359004	1.31317359004
marburg, genome 25 (rc)	19114	1.0	1.0	1.31317359004	1.31317359004
marburg, genome 26	19114	1.0	1.0	1.31840535733	1.31840535733
marburg, genome 26 (rc)	19114	1.0	1.0	1.31840535733	1.31840535733
marburg, genome 27	19114	1.0	1.0	1.32363712462	1.32363712462
marburg, genome 27 (rc)	19114	1.0	1.0	1.32363712462	1.32363712462
marburg, genome 28	19114	1.0	1.0	1.32363712462	1.32363712462
marburg, genome 28 (rc)	19114	1.0	1.0	1.32363712462	1.32363712462
marburg, genome 29	19114	1.0	1.0	1.32363712462	1.32363712462
marburg, genome 29 (rc)	19114	1.0	1.0	1.32363712462	1.32363712462
marburg, genome 30	19112	1.0	1.0	1.6167852658	1.6167852658
marburg, genome 30 (rc)	19112	1.0	1.0	1.6167852658	1.6167852658
marburg, genome 31	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 31 (rc)	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 32	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 32 (rc)	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 33	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 33 (rc)	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 34	19113	1.0	1.0	1.59577251086	1.59577251086
marburg, genome 34 (rc)	19113	1.0	1.0	1.59577251086	1.59577251086
marburg, genome 35	19111	1.0	1.0	1.51221809429	1.51221809429
marburg, genome 35 (rc)	19111	1.0	1.0	1.51221809429	1.51221809429
marburg, genome 36	19104	1.0	1.0	1.48136515913	1.48136515913
marburg, genome 36 (rc)	19104	1.0	1.0	1.48136515913	1.48136515913
marburg, genome 37	19114	1.0	1.0	1.02542638903	1.02542638903
marburg, genome 37 (rc)	19114	1.0	1.0	1.02542638903	1.02542638903
marburg, genome 38	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 38 (rc)	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 39	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 39 (rc)	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 40	19114	1.0	1.0	1.02542638903	1.02542638903
marburg, genome 40 (rc)	19114	1.0	1.0	1.02542638903	1.02542638903
marburg, genome 41	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 41 (rc)	19114	1.0	1.0	1.03065815633	1.03065815633
marburg, genome 42	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 42 (rc)	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 43	19114	1.0	1.0	1.58522548917	1.58522548917
marburg, genome 43 (rc)	19114	1.0	1.0	1.58522548917	1.58522548917
marburg, genome 44	19113	1.0	1.0	1.59577251086	1.59577251086
marburg, genome 44 (rc)	19113	1.0	1.0	1.59577251086	1.59577251086
marburg, genome 45	19113	1.0	1.0	1.59577251086	1.59577251086
marburg, genome 45 (rc)	19113	1.0	1.0	1.59577251086	1.59577251086
marburg, genome 46	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 46 (rc)	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 47	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 47 (rc)	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 48	19114	1.0	1.0	1.5695301873	1.5695301873
marburg, genome 48 (rc)	19114	1.0	1.0	1.5695301873	1.5695301873
marburg, genome 49	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 49 (rc)	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 50	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 50 (rc)	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 51	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 51 (rc)	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 52	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 52 (rc)	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 53	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 53 (rc)	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 54	19114	1.0	1.0	1.59568902375	1.59568902375
marburg, genome 54 (rc)	19114	1.0	1.0	1.59568902375	1.59568902375
marburg, genome 55	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 55 (rc)	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 56	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 56 (rc)	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 57	19114	1.0	1.0	1.5695301873	1.5695301873
marburg, genome 57 (rc)	19114	1.0	1.0	1.5695301873	1.5695301873
marburg, genome 58	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 58 (rc)	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 59	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 59 (rc)	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 60	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 60 (rc)	19114	1.0	1.0	1.57476195459	1.57476195459
marburg, genome 61	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 61 (rc)	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 62	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 62 (rc)	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 63	19114	1.0	1.0	1.5695301873	1.5695301873
marburg, genome 63 (rc)	19114	1.0	1.0	1.5695301873	1.5695301873
marburg, genome 64	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 64 (rc)	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 65	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 65 (rc)	19114	1.0	1.0	1.57999372188	1.57999372188
marburg, genome 66	19114	1.0	1.0	1.59568902375	1.59568902375
marburg, genome 66 (rc)	19114	1.0	1.0	1.59568902375	1.59568902375
marburg, genome 67	19114	1.0	1.0	1.55906665272	1.55906665272
marburg, genome 67 (rc)	19114	1.0	1.0	1.55906665272	1.55906665272
marburg, genome 68	19114	1.0	1.0	1.59045725646	1.59045725646
