Genome	Num bases covered	Frac bases covered	Frac bases covered over unambig	Average coverage/depth	Average coverage/depth over unambig
mers, genome 0	30105	1.0	1.0	1.82361733931	1.82361733931
mers, genome 0 (rc)	30105	1.0	1.0	1.82361733931	1.82361733931
mers, genome 1	30099	1.0	1.0	1.81733612412	1.81733612412
mers, genome 1 (rc)	30099	1.0	1.0	1.81733612412	1.81733612412
mers, genome 2	30100	1.0	1.0	1.82059800664	1.82059800664
mers, genome 2 (rc)	30100	1.0	1.0	1.82059800664	1.82059800664
mers, genome 3	30082	1.0	1.0	1.81836314075	1.81836314075
mers, genome 3 (rc)	30082	1.0	1.0	1.81836314075	1.81836314075
mers, genome 4	30105	1.0	1.0	1.82029563195	1.82029563195
mers, genome 4 (rc)	30105	1.0	1.0	1.82029563195	1.82029563195
mers, genome 5	30115	1.0	1.0	1.84957662295	1.84957662295
mers, genome 5 (rc)	30115	1.0	1.0	1.84957662295	1.84957662295
mers, genome 6	30071	1.0	1.00006651369	1.80905191048	1.80917223719
mers, genome 6 (rc)	30071	1.0	1.00006651369	1.80905191048	1.80917223719
mers, genome 7	30078	1.0	1.000033248	1.81528027129	1.81534062573
mers, genome 7 (rc)	30078	1.0	1.000033248	1.81528027129	1.81534062573
mers, genome 8	30063	1.0	1.0	1.77959618135	1.77959618135
mers, genome 8 (rc)	30063	1.0	1.0	1.77959618135	1.77959618135
mers, genome 9	30108	1.0	1.0	1.83339976086	1.83339976086
mers, genome 9 (rc)	30108	1.0	1.0	1.83339976086	1.83339976086
mers, genome 10	30081	1.0	1.0	1.81509923207	1.81509923207
mers, genome 10 (rc)	30081	1.0	1.0	1.81509923207	1.81509923207
mers, genome 11	30104	1.0	1.0	1.81703428116	1.81703428116
mers, genome 11 (rc)	30104	1.0	1.0	1.81703428116	1.81703428116
mers, genome 12	30076	1.0	1.0	1.80875116372	1.80875116372
mers, genome 12 (rc)	30076	1.0	1.0	1.80875116372	1.80875116372
mers, genome 13	30051	0.999833643865	1.00003327787	1.80330050572	1.80366056572
mers, genome 13 (rc)	30051	0.999833643865	1.00003327787	1.80330050572	1.80366056572
mers, genome 14	30064	1.0	1.00003326348	1.78286322512	1.78292252936
mers, genome 14 (rc)	30064	1.0	1.00003326348	1.78286322512	1.78292252936
mers, genome 15	30063	1.0	1.0	1.81951235738	1.81951235738
mers, genome 15 (rc)	30063	1.0	1.0	1.81951235738	1.81951235738
mers, genome 16	30123	1.0	1.0	1.8557248614	1.8557248614
mers, genome 16 (rc)	30123	1.0	1.0	1.8557248614	1.8557248614
mers, genome 17	30069	1.0	1.0	1.80252086867	1.80252086867
mers, genome 17 (rc)	30069	1.0	1.0	1.80252086867	1.80252086867
mers, genome 18	30117	1.0	1.0	1.84613341302	1.84613341302
mers, genome 18 (rc)	30117	1.0	1.0	1.84613341302	1.84613341302
mers, genome 19	30113	1.0	1.00003320935	1.84637864045	1.84643995749
mers, genome 19 (rc)	30113	1.0	1.00003320935	1.84637864045	1.84643995749
mers, genome 20	30081	1.0	1.0	1.81509923207	1.81509923207
mers, genome 20 (rc)	30081	1.0	1.0	1.81509923207	1.81509923207
mers, genome 21	30042	1.0	1.0	1.77085413754	1.77085413754
mers, genome 21 (rc)	30042	1.0	1.0	1.77085413754	1.77085413754
mers, genome 22	29851	1.0	1.0	1.76208502228	1.76208502228
mers, genome 22 (rc)	29851	1.0	1.0	1.76208502228	1.76208502228
mers, genome 23	29851	1.0	1.0	1.76208502228	1.76208502228
mers, genome 23 (rc)	29851	1.0	1.0	1.76208502228	1.76208502228
mers, genome 24	30117	1.0	1.0	1.84613341302	1.84613341302
