Genome	Num bases covered	Frac bases covered	Frac bases covered over unambig	Average coverage/depth	Average coverage/depth over unambig
crimean_congo, genome 0	19168	1.0	1.0	1.58075959933	1.58075959933
crimean_congo, genome 0 (rc)	19168	1.0	1.0	1.58075959933	1.58075959933
crimean_congo, genome 1	19207	1.0	1.0	1.32764096423	1.32764096423
crimean_congo, genome 1 (rc)	19207	1.0	1.0	1.32764096423	1.32764096423
crimean_congo, genome 2	19264	1.0	1.0	1.5157807309	1.5157807309
crimean_congo, genome 2 (rc)	19264	1.0	1.0	1.5157807309	1.5157807309
crimean_congo, genome 3	5055	1.0	1.00039580447	1.70128585559	1.70195923214
crimean_congo, genome 3 (rc)	5055	1.0	1.00039580447	1.70128585559	1.70195923214
crimean_congo, genome 4	19186	1.0	1.0	1.37079120192	1.37079120192
crimean_congo, genome 4 (rc)	19186	1.0	1.0	1.37079120192	1.37079120192
crimean_congo, genome 5	13841	1.0	1.0	1.29325915758	1.29325915758
crimean_congo, genome 5 (rc)	13841	1.0	1.0	1.29325915758	1.29325915758
crimean_congo, genome 6	1673	1.0	1.0	1.61386730424	1.61386730424
crimean_congo, genome 6 (rc)	1673	1.0	1.0	1.61386730424	1.61386730424
crimean_congo, genome 7	7037	1.0	1.0	1.30737530198	1.30737530198
crimean_congo, genome 7 (rc)	7037	1.0	1.0	1.30737530198	1.30737530198
crimean_congo, genome 8	19210	1.0	1.0	1.17126496616	1.17126496616
crimean_congo, genome 8 (rc)	19210	1.0	1.0	1.17126496616	1.17126496616
crimean_congo, genome 9	12160	1.0	1.0	1.75164473684	1.75164473684
crimean_congo, genome 9 (rc)	12160	1.0	1.0	1.75164473684	1.75164473684
crimean_congo, genome 10	19232	1.0	1.0	1.44550748752	1.44550748752
crimean_congo, genome 10 (rc)	19232	1.0	1.0	1.44550748752	1.44550748752
crimean_congo, genome 11	1581	1.0	1.0	1.32827324478	1.32827324478
crimean_congo, genome 11 (rc)	1581	1.0	1.0	1.32827324478	1.32827324478
crimean_congo, genome 12	12157	1.0	1.0	1.7438512791	1.7438512791
