Genome	Num bases covered	Frac bases covered	Frac bases covered over unambig	Average coverage/depth	Average coverage/depth over unambig
hepatitis_a, genome 0	7339	1.0	1.0	2.18013353318	2.18013353318
hepatitis_a, genome 0 (rc)	7339	1.0	1.0	2.18013353318	2.18013353318
hepatitis_a, genome 1	7339	1.0	1.0	2.18013353318	2.18013353318
hepatitis_a, genome 1 (rc)	7339	1.0	1.0	2.18013353318	2.18013353318
hepatitis_a, genome 2	7339	1.0	1.0	2.15288186401	2.15288186401
hepatitis_a, genome 2 (rc)	7339	1.0	1.0	2.15288186401	2.15288186401
hepatitis_a, genome 3	7339	1.0	1.0	2.07112685652	2.07112685652
hepatitis_a, genome 3 (rc)	7339	1.0	1.0	2.07112685652	2.07112685652
hepatitis_a, genome 4	7492	1.0	1.00173820029	2.22904431393	2.23291883942
hepatitis_a, genome 4 (rc)	7492	1.0	1.00173820029	2.22904431393	2.23291883942
hepatitis_a, genome 5	7388	1.0	1.0	1.24526258798	1.24526258798
hepatitis_a, genome 5 (rc)	7388	1.0	1.0	1.24526258798	1.24526258798
hepatitis_a, genome 6	7478	1.0	1.0	1.75180529553	1.75180529553
hepatitis_a, genome 6 (rc)	7478	1.0	1.0	1.75180529553	1.75180529553
hepatitis_a, genome 7	7476	1.0	1.0	1.39111824505	1.39111824505
hepatitis_a, genome 7 (rc)	7476	1.0	1.0	1.39111824505	1.39111824505
hepatitis_a, genome 8	7492	1.0	1.0	2.122263748	2.122263748
hepatitis_a, genome 8 (rc)	7492	1.0	1.0	2.122263748	2.122263748
hepatitis_a, genome 9	7492	1.0	1.0	2.122263748	2.122263748
hepatitis_a, genome 9 (rc)	7492	1.0	1.0	2.122263748	2.122263748
hepatitis_a, genome 10	7459	1.0	1.00026820437	2.66791795147	2.66863349873
hepatitis_a, genome 10 (rc)	7459	1.0	1.00026820437	2.66791795147	2.66863349873
hepatitis_a, genome 11	7478	1.0	1.0	1.10992243915	1.10992243915
hepatitis_a, genome 11 (rc)	7478	1.0	1.0	1.10992243915	1.10992243915
hepatitis_a, genome 12	7478	1.0	1.0	1.56458946242	1.56458946242
hepatitis_a, genome 12 (rc)	7478	1.0	1.0	1.56458946242	1.56458946242
hepatitis_a, genome 13	7445	1.0	1.0	2.04163868368	2.04163868368
hepatitis_a, genome 13 (rc)	7445	1.0	1.0	2.04163868368	2.04163868368
hepatitis_a, genome 14	7455	1.0	1.0	2.14621059691	2.14621059691
hepatitis_a, genome 14 (rc)	7455	1.0	1.0	2.14621059691	2.14621059691
hepatitis_a, genome 15	7494	1.0	1.0	2.40192153723	2.40192153723
hepatitis_a, genome 15 (rc)	7494	1.0	1.0	2.40192153723	2.40192153723
hepatitis_a, genome 16	7442	1.0	1.0	2.17683418436	2.17683418436
hepatitis_a, genome 16 (rc)	7442	1.0	1.0	2.17683418436	2.17683418436
hepatitis_a, genome 17	7458	1.0	1.0	2.23920622151	2.23920622151
hepatitis_a, genome 17 (rc)	7458	1.0	1.0	2.23920622151	2.23920622151
hepatitis_a, genome 18	7477	1.0	1.0	1.92590611208	1.92590611208
hepatitis_a, genome 18 (rc)	7477	1.0	1.0	1.92590611208	1.92590611208
hepatitis_a, genome 19	7453	1.0	1.0	2.05286461827	2.05286461827
hepatitis_a, genome 19 (rc)	7453	1.0	1.0	2.05286461827	2.05286461827
hepatitis_a, genome 20	7477	1.0	1.0	1.63167045607	1.63167045607
hepatitis_a, genome 20 (rc)	7477	1.0	1.0	1.63167045607	1.63167045607
hepatitis_a, genome 21	7465	1.0	1.0	1.62089752177	1.62089752177
hepatitis_a, genome 21 (rc)	7465	1.0	1.0	1.62089752177	1.62089752177
hepatitis_a, genome 22	7480	1.0	1.0	1.72459893048	1.72459893048
hepatitis_a, genome 22 (rc)	7480	1.0	1.0	1.72459893048	1.72459893048
hepatitis_a, genome 23	7476	1.0	1.0	1.75227394329	1.75227394329
hepatitis_a, genome 23 (rc)	7476	1.0	1.0	1.75227394329	1.75227394329
hepatitis_a, genome 24	7472	1.0	1.0	1.57922912206	1.57922912206
