Genome	Num bases covered	Frac bases covered	Frac bases covered over unambig	Average coverage/depth	Average coverage/depth over unambig
yellow_fever, genome 0	10760	1.0	1.0	1.63568773234	1.63568773234
yellow_fever, genome 0 (rc)	10760	1.0	1.0	1.63568773234	1.63568773234
yellow_fever, genome 1	10811	1.0	1.0	1.69272037739	1.69272037739
yellow_fever, genome 1 (rc)	10811	1.0	1.0	1.69272037739	1.69272037739
yellow_fever, genome 2	10862	1.0	1.00073705546	1.77683667833	1.77814630551
yellow_fever, genome 2 (rc)	10862	1.0	1.00073705546	1.77683667833	1.77814630551
yellow_fever, genome 3	10862	1.0	1.00018416206	1.79524949365	1.7955801105
yellow_fever, genome 3 (rc)	10862	1.0	1.00018416206	1.79524949365	1.7955801105
yellow_fever, genome 4	10823	1.0	1.0	1.13646863162	1.13646863162
yellow_fever, genome 4 (rc)	10823	1.0	1.0	1.13646863162	1.13646863162
yellow_fever, genome 5	10823	1.0	1.0	1.10874988451	1.10874988451
yellow_fever, genome 5 (rc)	10823	1.0	1.0	1.10874988451	1.10874988451
yellow_fever, genome 6	10823	1.0	1.0	1.03483322554	1.03483322554
yellow_fever, genome 6 (rc)	10823	1.0	1.0	1.03483322554	1.03483322554
yellow_fever, genome 7	10862	1.0	1.0	1.76763027067	1.76763027067
yellow_fever, genome 7 (rc)	10862	1.0	1.0	1.76763027067	1.76763027067
yellow_fever, genome 8	10862	1.0	1.0	1.77683667833	1.77683667833
yellow_fever, genome 8 (rc)	10862	1.0	1.0	1.77683667833	1.77683667833
yellow_fever, genome 9	10862	1.0	1.0	1.77683667833	1.77683667833
yellow_fever, genome 9 (rc)	10862	1.0	1.0	1.77683667833	1.77683667833
yellow_fever, genome 10	10862	1.0	1.0	1.77683667833	1.77683667833
yellow_fever, genome 10 (rc)	10862	1.0	1.0	1.77683667833	1.77683667833
yellow_fever, genome 11	10862	1.0	1.00027626853	1.71239182471	1.71286490469
yellow_fever, genome 11 (rc)	10862	1.0	1.00027626853	1.71239182471	1.71286490469
yellow_fever, genome 12	10862	1.0	1.00018416206	1.71239182471	1.71270718232
yellow_fever, genome 12 (rc)	10862	1.0	1.00018416206	1.71239182471	1.71270718232
yellow_fever, genome 13	10862	1.0	1.00027626853	1.71239182471	1.71286490469
yellow_fever, genome 13 (rc)	10862	1.0	1.00027626853	1.71239182471	1.71286490469
yellow_fever, genome 14	10862	1.0	1.00027626853	1.71239182471	1.71286490469
yellow_fever, genome 14 (rc)	10862	1.0	1.00027626853	1.71239182471	1.71286490469
yellow_fever, genome 15	10862	1.0	1.00009207255	1.71239182471	1.712549489
yellow_fever, genome 15 (rc)	10862	1.0	1.00009207255	1.71239182471	1.712549489
yellow_fever, genome 16	10859	1.0	1.00009209799	1.78653651349	1.78670104992
yellow_fever, genome 16 (rc)	10859	1.0	1.00009209799	1.78653651349	1.78670104992
yellow_fever, genome 17	10857	1.0	1.0	1.72239108409	1.72239108409
yellow_fever, genome 17 (rc)	10857	1.0	1.0	1.72239108409	1.72239108409
yellow_fever, genome 18	10861	1.0	1.00009208103	1.72175674431	1.72191528545
