dataset	mismatches	cover_extension	num_probes
achimota_rubulavirus_1	0	0	252
achimota_rubulavirus_1	0	10	268
achimota_rubulavirus_1	0	20	208
achimota_rubulavirus_1	0	30	173
achimota_rubulavirus_1	0	40	143
achimota_rubulavirus_1	0	50	118
achimota_rubulavirus_1	1	0	250
achimota_rubulavirus_1	1	10	268
achimota_rubulavirus_1	1	20	207
achimota_rubulavirus_1	1	30	164
achimota_rubulavirus_1	1	40	143
achimota_rubulavirus_1	1	50	112
achimota_rubulavirus_1	2	0	246
achimota_rubulavirus_1	2	10	269
achimota_rubulavirus_1	2	20	204
achimota_rubulavirus_1	2	30	170
achimota_rubulavirus_1	2	40	150
achimota_rubulavirus_1	2	50	119
achimota_rubulavirus_1	3	0	250
achimota_rubulavirus_1	3	10	260
achimota_rubulavirus_1	3	20	206
achimota_rubulavirus_1	3	30	169
achimota_rubulavirus_1	3	40	148
achimota_rubulavirus_1	3	50	115
achimota_rubulavirus_1	4	0	245
achimota_rubulavirus_1	4	10	265
achimota_rubulavirus_1	4	20	215
achimota_rubulavirus_1	4	30	166
achimota_rubulavirus_1	4	40	143
achimota_rubulavirus_1	4	50	115
achimota_rubulavirus_1	5	0	244
achimota_rubulavirus_1	5	10	267
achimota_rubulavirus_1	5	20	210
achimota_rubulavirus_1	5	30	169
achimota_rubulavirus_1	5	40	145
achimota_rubulavirus_1	5	50	114
achimota_rubulavirus_1	6	0	251
achimota_rubulavirus_1	6	10	267
achimota_rubulavirus_1	6	20	207
achimota_rubulavirus_1	6	30	170
achimota_rubulavirus_1	6	40	141
achimota_rubulavirus_1	6	50	116
achimota_rubulavirus_1	7	0	248
achimota_rubulavirus_1	7	10	267
achimota_rubulavirus_1	7	20	210
achimota_rubulavirus_1	7	30	169
achimota_rubulavirus_1	7	40	141
achimota_rubulavirus_1	7	50	120
achimota_rubulavirus_1	8	0	249
achimota_rubulavirus_1	8	10	267
achimota_rubulavirus_1	8	20	213
achimota_rubulavirus_1	8	30	172
achimota_rubulavirus_1	8	40	147
achimota_rubulavirus_1	8	50	123
achimota_rubulavirus_2	0	0	249
achimota_rubulavirus_2	0	10	272
achimota_rubulavirus_2	0	20	209
achimota_rubulavirus_2	0	30	166
achimota_rubulavirus_2	0	40	142
achimota_rubulavirus_2	0	50	110
achimota_rubulavirus_2	1	0	247
achimota_rubulavirus_2	1	10	266
achimota_rubulavirus_2	1	20	205
achimota_rubulavirus_2	1	30	167
achimota_rubulavirus_2	1	40	140
achimota_rubulavirus_2	1	50	122
achimota_rubulavirus_2	2	0	253
achimota_rubulavirus_2	2	10	261
achimota_rubulavirus_2	2	20	206
achimota_rubulavirus_2	2	30	170
achimota_rubulavirus_2	2	40	145
achimota_rubulavirus_2	2	50	118
achimota_rubulavirus_2	3	0	245
achimota_rubulavirus_2	3	10	262
achimota_rubulavirus_2	3	20	201
achimota_rubulavirus_2	3	30	177
achimota_rubulavirus_2	3	40	147
achimota_rubulavirus_2	3	50	117
achimota_rubulavirus_2	4	0	249
achimota_rubulavirus_2	4	10	264
achimota_rubulavirus_2	4	20	207
achimota_rubulavirus_2	4	30	163
achimota_rubulavirus_2	4	40	142
achimota_rubulavirus_2	4	50	118
achimota_rubulavirus_2	5	0	252
achimota_rubulavirus_2	5	10	267
achimota_rubulavirus_2	5	20	208
achimota_rubulavirus_2	5	30	175
achimota_rubulavirus_2	5	40	145
achimota_rubulavirus_2	5	50	118
achimota_rubulavirus_2	6	0	251
achimota_rubulavirus_2	6	10	268
achimota_rubulavirus_2	6	20	205
achimota_rubulavirus_2	6	30	171
achimota_rubulavirus_2	6	40	136
achimota_rubulavirus_2	6	50	118
achimota_rubulavirus_2	7	0	250
achimota_rubulavirus_2	7	10	269
achimota_rubulavirus_2	7	20	209
achimota_rubulavirus_2	7	30	166
achimota_rubulavirus_2	7	40	147
achimota_rubulavirus_2	7	50	118
achimota_rubulavirus_2	8	0	255
achimota_rubulavirus_2	8	10	264
achimota_rubulavirus_2	8	20	207
achimota_rubulavirus_2	8	30	168
achimota_rubulavirus_2	8	40	144
achimota_rubulavirus_2	8	50	117
adeno-associated_dependoparvovirus_a	0	0	407
adeno-associated_dependoparvovirus_a	0	10	411
adeno-associated_dependoparvovirus_a	0	20	315
adeno-associated_dependoparvovirus_a	0	30	266
adeno-associated_dependoparvovirus_a	0	40	224
adeno-associated_dependoparvovirus_a	0	50	170
adeno-associated_dependoparvovirus_a	1	0	387
adeno-associated_dependoparvovirus_a	1	10	378
adeno-associated_dependoparvovirus_a	1	20	294
adeno-associated_dependoparvovirus_a	1	30	234
adeno-associated_dependoparvovirus_a	1	40	197
adeno-associated_dependoparvovirus_a	1	50	163
adeno-associated_dependoparvovirus_a	2	0	357
adeno-associated_dependoparvovirus_a	2	10	359
adeno-associated_dependoparvovirus_a	2	20	267
adeno-associated_dependoparvovirus_a	2	30	208
adeno-associated_dependoparvovirus_a	2	40	180
adeno-associated_dependoparvovirus_a	2	50	149
adeno-associated_dependoparvovirus_a	3	0	338
adeno-associated_dependoparvovirus_a	3	10	319
adeno-associated_dependoparvovirus_a	3	20	249
adeno-associated_dependoparvovirus_a	3	30	200
adeno-associated_dependoparvovirus_a	3	40	170
adeno-associated_dependoparvovirus_a	3	50	135
adeno-associated_dependoparvovirus_a	4	0	321
adeno-associated_dependoparvovirus_a	4	10	300
adeno-associated_dependoparvovirus_a	4	20	230
adeno-associated_dependoparvovirus_a	4	30	187
adeno-associated_dependoparvovirus_a	4	40	163
adeno-associated_dependoparvovirus_a	4	50	131
adeno-associated_dependoparvovirus_a	5	0	308
adeno-associated_dependoparvovirus_a	5	10	267
adeno-associated_dependoparvovirus_a	5	20	209
adeno-associated_dependoparvovirus_a	5	30	174
adeno-associated_dependoparvovirus_a	5	40	152
adeno-associated_dependoparvovirus_a	5	50	117
adeno-associated_dependoparvovirus_a	6	0	290
adeno-associated_dependoparvovirus_a	6	10	247
adeno-associated_dependoparvovirus_a	6	20	200
adeno-associated_dependoparvovirus_a	6	30	161
adeno-associated_dependoparvovirus_a	6	40	143
adeno-associated_dependoparvovirus_a	6	50	115
adeno-associated_dependoparvovirus_a	7	0	280
adeno-associated_dependoparvovirus_a	7	10	248
adeno-associated_dependoparvovirus_a	7	20	191
adeno-associated_dependoparvovirus_a	7	30	155
adeno-associated_dependoparvovirus_a	7	40	136
adeno-associated_dependoparvovirus_a	7	50	109
adeno-associated_dependoparvovirus_a	8	0	262
adeno-associated_dependoparvovirus_a	8	10	238
adeno-associated_dependoparvovirus_a	8	20	185
adeno-associated_dependoparvovirus_a	8	30	153
adeno-associated_dependoparvovirus_a	8	40	132
adeno-associated_dependoparvovirus_a	8	50	104
adeno-associated_dependoparvovirus_b	0	0	134
adeno-associated_dependoparvovirus_b	0	10	106
adeno-associated_dependoparvovirus_b	0	20	85
adeno-associated_dependoparvovirus_b	0	30	70
adeno-associated_dependoparvovirus_b	0	40	60
adeno-associated_dependoparvovirus_b	0	50	51
adeno-associated_dependoparvovirus_b	1	0	105
adeno-associated_dependoparvovirus_b	1	10	100
adeno-associated_dependoparvovirus_b	1	20	79
adeno-associated_dependoparvovirus_b	1	30	70
adeno-associated_dependoparvovirus_b	1	40	55
adeno-associated_dependoparvovirus_b	1	50	47
